Design file name, File type,Open Source License,Location of the file
MEMSduino-wood.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/MEMSduino-wood.zip
rack-mount-board-SP6T.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP6T.SLDDRW
rack-mount-board-SP6T.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP6T.SLDPRT
rack-mount-board-SP6T.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP6T.pdf
rack-mount-board-SP9T.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP9T.SLDDRW
rack-mount-board-SP9T.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP9T.SLDPRT
rack-mount-board-SP9T.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/rack-mount-board-SP9T.pdf
