Design file name, File type,Open Source License,Location of the file
AN-1304-A-box-modifications.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-box-modifications.SLDDRW
AN-1304-A-box-modifications.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-box-modifications.SLDPRT
AN-1304-A-box-modifications.STEP,Machining file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-box-modifications.STEP
AN-1304-A-box-modifications.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-box-modifications.pdf
AN-1304-A-lid-modifications.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-lid-modifications.SLDDRW
AN-1304-A-lid-modifications.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-lid-modifications.SLDPRT
AN-1304-A-lid-modifications.STEP,Machining file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-lid-modifications.STEP
AN-1304-A-lid-modifications.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/AN-1304-A-lid-modifications.pdf
MEMSduino-metalbox.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/MEMSduino-metalbox.zip
